"Reference","Value","Footprint","QUANTITY"
"C1","2200uF/35V","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","1"
"C2","100nF/100V","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"C3","100nF/50V","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"C4","100uF/25V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1"
"D1-D4","1N4007","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","4"
"F1","T 160mA / 250V","Fuse:Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal","1"
"J1","230V~ L/N","TerminalBlock_RND:TerminalBlock_RND_205-00023_1x02_P10.00mm_Horizontal","1"
"JP1","DC OUT z.B. +12V","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1"
"JP2","0V = GND","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1"
"TR1","230V/15V 15VA","Platine7812:Trafo_Print_15VA_4pin","1"
"U1","LM7812","Package_TO_SOT_THT:TO-220-3_Vertical","1"
